Datetime,Bmag,Bx,By_GSM,Bz_GSM,Temperature,Density,Speed,Pressure,Ey,Beta,Mach,Event_ID,Shock_Time,ICME_Start,ICME_End,Dst (nT) (m),Label
27-05-1996 15:00,6.7,-0.4,-1.6,-5.3,26590,9.2,413,2.75,2.19,1.32,9.3,1,27-05-1996 15:00,27-05-1996 15:00,29-05-1996 03:00,-33,0
27-05-1996 16:00,7.9,-0.8,-0.3,-7.7,18048,5.1,413,1.48,3.18,0.5,5.9,1,27-05-1996 15:00,27-05-1996 15:00,29-05-1996 03:00,-33,0
27-05-1996 17:00,8.2,-1.3,1.4,-7.9,18058,4.3,407,1.2,3.22,0.39,5.1,1,27-05-1996 15:00,27-05-1996 15:00,29-05-1996 03:00,-33,0
01-07-1996 13:00,1.8,0.7,-0.3,-1.1,16732,12.7,326,2.31,0.36,23.66,32.3,2,01-07-1996 13:20,01-07-1996 18:00,02-07-1996 11:00,-20,0
01-07-1996 14:00,4.5,-0.9,3.7,-1.2,28402,16,341,3.21,0.41,5.15,15.2,2,01-07-1996 13:20,01-07-1996 18:00,02-07-1996 11:00,-20,0
01-07-1996 15:00,6.8,-2.9,3.8,4,43108,18.5,353,3.97,-1.41,2.85,11.2,2,01-07-1996 13:20,01-07-1996 18:00,02-07-1996 11:00,-20,0
07-08-1996 06:00,3.8,-2.1,-2.4,0.6,17185,16.8,355,3.79,-0.21,7.04,19.1,3,07-08-1996 06:00,07-08-1996 12:00,08-08-1996 10:00,-23,0
07-08-1996 07:00,4.6,-1.7,-2.6,-0.2,19866,14,354,3.18,0.07,4.08,14.4,3,07-08-1996 06:00,07-08-1996 12:00,08-08-1996 10:00,-23,0
07-08-1996 08:00,6.5,-6.2,-1.5,1.3,11508,8.7,350,1.87,-0.46,1.2,7.9,3,07-08-1996 06:00,07-08-1996 12:00,08-08-1996 10:00,-23,0
23-12-1996 16:00,5.6,3.7,-0.7,3.9,75471,8.3,406,2.37,-1.58,2.24,10.4,4,23-12-1996 16:00,23-12-1996 17:00,25-12-1996 11:00,-18,0
23-12-1996 17:00,5.8,3.5,-1.4,4.2,54922,8.9,414,2.62,-1.74,2.02,10.6,4,23-12-1996 16:00,23-12-1996 17:00,25-12-1996 11:00,-18,0
23-12-1996 18:00,5.5,3.9,-1,3.6,42517,9.8,413,2.86,-1.49,2.3,11.8,4,23-12-1996 16:00,23-12-1996 17:00,25-12-1996 11:00,-18,0
10-01-1997 01:00,7.6,-4.7,1.6,4.1,63064,11.6,418,3.72,-1.71,1.6,9.4,5,10-01-1997 01:04,10-01-1997 04:00,11-01-1997 02:00,-78,1
10-01-1997 02:00,9.5,-0.1,4.8,-2.1,63165,11.8,438,4.25,0.92,1.04,7.9,5,10-01-1997 01:04,10-01-1997 04:00,11-01-1997 02:00,-78,1
